district,commodity,Arrival Date,variety,Min_price
Mysore,Ragi (Finger Millet),04-06-15,Fine,2100
Mysore,Ragi (Finger Millet),05-06-15,Fine,1900
Mysore,Ragi (Finger Millet),06-06-15,Fine,1900
Mysore,Ragi (Finger Millet),07-06-15,Fine,1900
Mysore,Ragi (Finger Millet),08-06-15,Fine,1900
Mysore,Ragi (Finger Millet),10-06-15,Fine,1800
Mysore,Ragi (Finger Millet),11-06-15,Fine,1900
Mysore,Ragi (Finger Millet),15-06-15,Fine,1900
Mysore,Ragi (Finger Millet),16-06-15,Fine,1900
Mysore,Ragi (Finger Millet),17-06-15,Fine,1900
Mysore,Ragi (Finger Millet),18-06-15,Fine,1900
Mysore,Ragi (Finger Millet),19-06-15,Fine,1900
Mysore,Ragi (Finger Millet),20-06-15,Fine,1900
Mysore,Ragi (Finger Millet),22-06-15,Fine,1900
Mysore,Ragi (Finger Millet),23-06-15,Fine,1900
Mysore,Ragi (Finger Millet),24-06-15,Fine,1900
Mysore,Ragi (Finger Millet),25-06-15,Fine,1900
Mysore,Ragi (Finger Millet),27-06-15,Fine,1900
Mysore,Ragi (Finger Millet),29-06-15,Fine,1900
Mysore,Ragi (Finger Millet),30-06-15,Fine,1900
Mysore,Ragi (Finger Millet),01-07-15,Fine,1900
Mysore,Ragi (Finger Millet),02-07-15,Fine,1600
Mysore,Ragi (Finger Millet),03-07-15,Fine,2000
Mysore,Ragi (Finger Millet),04-07-15,Fine,2000
Mysore,Ragi (Finger Millet),07-07-15,Fine,1900
Mysore,Ragi (Finger Millet),08-07-15,Fine,1900
Mysore,Ragi (Finger Millet),09-07-15,Fine,1800
Mysore,Ragi (Finger Millet),10-07-15,Fine,1800
Mysore,Ragi (Finger Millet),11-07-15,Fine,1900
Mysore,Ragi (Finger Millet),12-07-15,Fine,1900
Mysore,Ragi (Finger Millet),14-07-15,Fine,1900
Mysore,Ragi (Finger Millet),15-07-15,Fine,1900
Mysore,Ragi (Finger Millet),16-07-15,Fine,1900
Mysore,Ragi (Finger Millet),17-07-15,Fine,1900
Mysore,Ragi (Finger Millet),21-07-15,Fine,1900
Mysore,Ragi (Finger Millet),24-07-15,Fine,1900
Mysore,Ragi (Finger Millet),25-07-15,Fine,1900
Mysore,Ragi (Finger Millet),27-07-15,Fine,1900
Mysore,Ragi (Finger Millet),28-07-15,Fine,1900
Mysore,Ragi (Finger Millet),29-07-15,Fine,1900
Mysore,Ragi (Finger Millet),30-07-15,Fine,1900
Mysore,Ragi (Finger Millet),31-07-15,Fine,1900
Mysore,Ragi (Finger Millet),01-08-15,Fine,1900
Mysore,Ragi (Finger Millet),04-08-15,Fine,2000
Mysore,Ragi (Finger Millet),05-08-15,Fine,1900
Mysore,Ragi (Finger Millet),06-08-15,Fine,1900
Mysore,Ragi (Finger Millet),07-08-15,Fine,1900
Mysore,Ragi (Finger Millet),09-08-15,Fine,1800
Mysore,Ragi (Finger Millet),10-08-15,Fine,1800
Mysore,Ragi (Finger Millet),12-08-15,Fine,1900
Mysore,Ragi (Finger Millet),13-08-15,Fine,1850
Mysore,Ragi (Finger Millet),14-08-15,Fine,1850
Mysore,Ragi (Finger Millet),17-08-15,Fine,1850
Mysore,Ragi (Finger Millet),18-08-15,Fine,1850
Mysore,Ragi (Finger Millet),19-08-15,Fine,1850
Mysore,Ragi (Finger Millet),20-08-15,Fine,1850
Mysore,Ragi (Finger Millet),21-08-15,Fine,1850
Mysore,Ragi (Finger Millet),24-08-15,Fine,1800
Mysore,Ragi (Finger Millet),25-08-15,Fine,1800
Mysore,Ragi (Finger Millet),26-08-15,Fine,1800
Mysore,Ragi (Finger Millet),27-08-15,Fine,1800
Mysore,Ragi (Finger Millet),28-08-15,Fine,1800
Mysore,Ragi (Finger Millet),29-08-15,Fine,1800
Mysore,Ragi (Finger Millet),31-08-15,Fine,1800
Mysore,Ragi (Finger Millet),01-09-15,Fine,1900
Mysore,Ragi (Finger Millet),02-09-15,Fine,1600
Mysore,Ragi (Finger Millet),03-09-15,Fine,2000
Mysore,Ragi (Finger Millet),04-09-15,Fine,2000
Mysore,Ragi (Finger Millet),06-09-15,Fine,1900
Mysore,Ragi (Finger Millet),07-09-15,Fine,1900
Mysore,Ragi (Finger Millet),09-09-15,Fine,1800
Mysore,Ragi (Finger Millet),10-09-15,Fine,1800
Mysore,Ragi (Finger Millet),11-09-15,Fine,1900
Mysore,Ragi (Finger Millet),12-09-15,Fine,1900
Mysore,Ragi (Finger Millet),14-09-15,Fine,1800
Mysore,Ragi (Finger Millet),15-09-15,Fine,1800
Mysore,Ragi (Finger Millet),16-09-15,Fine,1800
Mysore,Ragi (Finger Millet),18-09-15,Fine,1800
Mysore,Ragi (Finger Millet),19-09-15,Fine,1800
Mysore,Ragi (Finger Millet),21-09-15,Fine,1800
Mysore,Ragi (Finger Millet),22-09-15,Fine,1800
Mysore,Ragi (Finger Millet),23-09-15,Fine,1800
Mysore,Ragi (Finger Millet),24-09-15,Fine,1800
Mysore,Ragi (Finger Millet),26-09-15,Fine,1800
Mysore,Ragi (Finger Millet),28-09-15,Fine,1800
Mysore,Ragi (Finger Millet),29-09-15,Fine,1800
Mysore,Ragi (Finger Millet),30-09-15,Fine,1800
Mysore,Ragi (Finger Millet),02-10-15,Fine,1500
Mysore,Ragi (Finger Millet),03-10-15,Fine,2000
Mysore,Ragi (Finger Millet),04-10-15,Fine,2000
Mysore,Ragi (Finger Millet),06-10-15,Fine,1900
Mysore,Ragi (Finger Millet),07-10-15,Fine,1900
Mysore,Ragi (Finger Millet),08-10-15,Fine,1900
Mysore,Ragi (Finger Millet),09-10-15,Fine,1800
Mysore,Ragi (Finger Millet),12-10-15,Fine,1900
Mysore,Ragi (Finger Millet),13-10-15,Fine,1800
Mysore,Ragi (Finger Millet),14-10-15,Fine,1800
Mysore,Ragi (Finger Millet),15-10-15,Fine,1800
Mysore,Ragi (Finger Millet),16-10-15,Fine,1800
Mysore,Ragi (Finger Millet),17-10-15,Fine,1900
Mysore,Ragi (Finger Millet),19-10-15,Fine,1900
Mysore,Ragi (Finger Millet),20-10-15,Fine,1900
